 RI_ACCESSION 	 GENUS        	 SPECIES      	 ACP          	 ACNO         	 ACCID        	 GEOCTY       	 GEOSTA       	 LAT          	 LON          	 ACELLO       	 LOCALITY     	 PEDIGREE     	 SAMPSTAT     	 SOURCE       	 KERNELS      	 NOTES        	 FLAG         
RIMMA0191	Zea	mays subsp. mays	PI	213748	175942	United States	Oklahoma	NA	NA	NA	Cheyenne Tribe  Oklahoma.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0192	Zea	mays subsp. mays	PI	213770	175963	United States	South Dakota	NA	NA	NA	Sioux Tribe  South Dakota.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0193	Zea	mays subsp. mays	PI	213771	175964	United States	Nebraska	NA	NA	NA	Winnebago Tribe  Nebraska.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0194	Zea	mays subsp. mays	PI	213780	175973	United States	South Dakota	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0195	Zea	mays subsp. mays	PI	213781	175974	United States	South Dakota	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0196	Zea	mays subsp. mays	PI	213793	175986	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0197	Zea	mays subsp. mays	PI	214197	176126	Canada	Ontario	NA	NA	NA	Ontario Agricultural College  Guelph  Ontario.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0198	Zea	mays subsp. mays	PI	214293	176159	United States	Pennsylvania	NA	NA	NA	From Charles Ricedorf  Lancaster  Pennsylvania.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0199	Zea	mays subsp. mays	PI	214294	176160	United States	Ohio	NA	NA	NA	From Hershel Long  Yellow Springs  Ohio.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0200	Zea	mays subsp. mays	PI	214295	176161	United States	Kansas	NA	NA	NA	From the collection at the Kansas State College Agronomy Farm.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0201	Zea	mays subsp. mays	PI	217405	177451	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0202	Zea	mays subsp. mays	PI	217407	177455	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0203	Zea	mays subsp. mays	PI	217408	177458	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0204	Zea	mays subsp. mays	PI	217412	177462	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0205	Zea	mays subsp. mays	PI	217472	177497	United States	New York	NA	NA	NA	From Rushville  New York.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0206	Zea	mays subsp. mays	PI	217473	177498	United States	Pennsylvania	NA	NA	NA	From Grand Valley  Pennsylvania.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0207	Zea	mays subsp. mays	PI	217475	177500	United States	New Jersey	NA	NA	NA	From Hackettston  New Jersey.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0208	Zea	mays subsp. mays	PI	218005	177740	United States	West Virginia	NA	NA	NA	From R.W. Loudermilk  Willow End  Monroe County  West Virginia.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0209	Zea	mays subsp. mays	PI	218195	177861	United States	West Virginia	NA	NA	NA	Originally developed by C.R. Rector in Wood Co.  West Virginia on a farm once owned by George Washington.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0210	Zea	mays subsp. mays	PI	219871	178146	United States	North Dakota	NA	NA	NA	Obtained from Canadian Assiniboine Indians by Oscar H. Will Seed Company  Bismarck  North Dakota.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0211	Zea	mays subsp. mays	PI	219877	178158	United States	North Dakota	NA	NA	NA	From Oscar H. Will Seed Company  Bismarck  North Dakota.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0212	Zea	mays subsp. mays	PI	219882	178167	United States	North Dakota	NA	NA	NA	From Oscar H. Will Seed Company  Bismarck  North Dakota.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
