 RI_ACCESSION 	 GENUS        	 SPECIES      	 ACP          	 ACNO         	 ACCID        	 GEOCTY       	 GEOSTA       	 LAT          	 LON          	 ACELLO       	 LOCALITY     	 PEDIGREE     	 SAMPSTAT     	 SOURCE       	 KERNELS      	 NOTES        	 FLAG         
RIMMA0291	Zea	mays subsp. mays	PI	452046	346982	United States	Tennessee	NA	NA	NA	Tennessee	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0292	Zea	mays subsp. mays	PI	452047	346983	United States	Tennessee	NA	NA	NA	Tennessee	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0293	Zea	mays subsp. mays	PI	452048	346984	United States	Tennessee	NA	NA	NA	Tennessee	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0294	Zea	mays subsp. mays	PI	452051	346987	United States	Tennessee	NA	NA	NA	Tennessee	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0295	Zea	mays subsp. mays	PI	452052	346988	United States	Tennessee	NA	NA	NA	Tennessee	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0296	Zea	mays subsp. mays	PI	452058	346994	United States	Illinois	41.8389	-89.4794	NA	Wilmer Gerdes farm  rural route 2  Dixon  Illinois.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0297	Zea	mays subsp. mays	PI	452059	346995	United States	Tennessee	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0298	Zea	mays subsp. mays	PI	483273	378209	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0299	Zea	mays subsp. mays	PI	483317	378253	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0300	Zea	mays subsp. mays	PI	520768	415704	United States	New York	NA	NA	NA	Obtained from Agway  Inc.  Syracuse  New York.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0301	Zea	mays subsp. mays	PI	520769	415705	United States	Pennsylvania	NA	NA	NA	Obtained from Hoffman Seed Co.  Landisville  Pennsylvania.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0302	Zea	mays subsp. mays	PI	540784	435720	United States	Georgia	NA	NA	NA	Atlanta	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0303	Zea	mays subsp. mays	PI	540785	435721	United States	Georgia	NA	NA	NA	Atlanta	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0304	Zea	mays subsp. mays	PI	543916	438852	NA	NA	NA	NA	NA	NA	T61 X Hill Yellow Dent	Breeder's line	USDA	NA	NA	NA
RIMMA0305	Zea	mays subsp. mays	PI	548792	443728	NA	NA	NA	NA	NA	NA	GT112-NC33/GT112	Breeder's line	USDA	NA	NA	NA
RIMMA0306	Zea	mays subsp. mays	PI	550440	445376	NA	NA	NA	NA	NA	NA	41.2504B/3*B14	Breeder's line	USDA	NA	NA	NA
RIMMA0307	Zea	mays subsp. mays	PI	550441	445377	NA	NA	NA	NA	NA	NA	WF9/Mo22	Breeder's line	USDA	NA	identical to RIMMA0018	NA
RIMMA0308	Zea	mays subsp. mays	PI	550454	445390	NA	NA	NA	NA	NA	NA	Inbred line of unknown origin  obtained from a private breeder.	Breeder's line	USDA	NA	NA	NA
RIMMA0309	Zea	mays subsp. mays	PI	550461	445397	NA	NA	NA	NA	NA	NA	(Cuzco/Early Dent)Selection//8*B14	Breeder's line	USDA	NA	NA	NA
RIMMA0310	Zea	mays subsp. mays	PI	550462	445398	NA	NA	NA	NA	NA	NA	N32/2*B14	Breeder's line	USDA	NA	NA	NA
RIMMA0311	Zea	mays subsp. mays	PI	550465	445401	NA	NA	NA	NA	NA	NA	41.2504B/3*B14	Breeder's line	USDA	NA	NA	NA
RIMMA0312	Zea	mays subsp. mays	PI	550466	445402	NA	NA	NA	NA	NA	NA	C103/M14	Breeder's line	USDA	NA	NA	NA
RIMMA0313	Zea	mays subsp. mays	PI	550467	445403	NA	NA	NA	NA	NA	NA	Selected from Iowa Stiff Stalk Synthetic.	Breeder's line	USDA	NA	NA	NA
RIMMA0314	Zea	mays subsp. mays	PI	550469	445405	NA	NA	NA	NA	NA	NA	W22/B10	Breeder's line	USDA	7	NA	NA
RIMMA0315	Zea	mays subsp. mays	PI	550472	445408	NA	NA	NA	NA	NA	NA	Selected from open-pollinated 'Midland'.	Breeder's line	USDA	NA	NA	NA
RIMMA0316	Zea	mays subsp. mays	PI	550473	445409	NA	NA	NA	NA	NA	NA	Selected from advanced recurrent selection population (C5) of Iowa Stiff Stalk Synthetic (BSSS).	Breeder's line	USDA	NA	identical to RIMMA0019	NA
RIMMA0317	Zea	mays subsp. mays	PI	550483	445419	NA	NA	NA	NA	NA	NA	(CI31A/B37)F2//B37	Breeder's line	USDA	NA	NA	NA
RIMMA0318	Zea	mays subsp. mays	PI	550490	445426	NA	NA	NA	NA	NA	NA	W755/W771	Breeder's line	USDA	NA	NA	NA
RIMMA0319	Zea	mays subsp. mays	PI	550518	445454	NA	NA	NA	NA	NA	NA	Selfing and selection in Jarvis Golden Prolific since 1930.	Breeder's line	USDA	NA	NA	NA
RIMMA0320	Zea	mays subsp. mays	PI	583896	62852	United States	Iowa	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0321	Zea	mays subsp. mays	PI	583897	62862	United States	Mississippi	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0322	Zea	mays subsp. mays	PI	583898	62865	United States	Mississippi	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0323	Zea	mays subsp. mays	PI	587124	82767	Canada	Manitoba	NA	NA	NA	NA	NA	Breeder's line	USDA	NA	NA	NA
RIMMA0324	Zea	mays subsp. mays	PI	587125	82769	Canada	Ontario	NA	NA	NA	NA	NA	Breeder's line	USDA	NA	NA	NA
RIMMA0325	Zea	mays subsp. mays	PI	587128	73894	NA	NA	NA	NA	NA	NA	NA	Breeder's line	USDA	NA	NA	NA
RIMMA0326	Zea	mays subsp. mays	PI	587129	73895	NA	NA	NA	NA	NA	NA	NA	Breeder's line	USDA	NA	NA	NA
RIMMA0327	Zea	mays subsp. mays	PI	587138	82747	NA	NA	NA	NA	NA	NA	[(WD X Wf9) WD(2)]	Breeder's line	USDA	NA	NA	NA
RIMMA0328	Zea	mays subsp. mays	PI	587139	82749	NA	NA	NA	NA	NA	NA	[(A171 X Oh43) Oh43]	Breeder's line	USDA	NA	NA	NA
RIMMA0329	Zea	mays subsp. mays	PI	587141	82762	NA	NA	NA	NA	NA	NA	A116 X Wf9	Breeder's line	USDA	NA	NA	NA
RIMMA0330	Zea	mays subsp. mays	PI	587147	82778	NA	NA	NA	NA	NA	NA	(Wf9 X Oh40B)S4 X [(38-11 X L317)38-11]S4	Breeder's line	USDA	NA	NA	NA
RIMMA0331	Zea	mays subsp. mays	PI	587148	84191	NA	NA	NA	NA	NA	NA	L97 X K55 (2)	Breeder's line	USDA	NA	NA	NA
RIMMA0332	Zea	mays subsp. mays	PI	587149	82784	NA	NA	NA	NA	NA	NA	NA	Breeder's line	USDA	NA	NA	NA
RIMMA0333	Zea	mays subsp. mays	PI	587150	84340	NA	NA	NA	NA	NA	NA	(C103 x T8)T8	Breeder's line	USDA	NA	NA	NA
RIMMA0334	Zea	mays subsp. mays	PI	587153	84341	NA	NA	NA	NA	NA	NA	(643 x Minn. 13)	Breeder's line	USDA	NA	NA	NA
RIMMA0335	Zea	mays subsp. mays	PI	601005	157406	NA	NA	NA	NA	NA	NA	NA	Advanced cultivar	USDA	NA	NA	NA
RIMMA0336	Zea	mays subsp. mays	PI	607519	71169	NA	NA	NA	NA	NA	NA	Developed from (ND408 x ND230)x ND408.	Breeder's line	USDA	NA	NA	NA
RIMMA0337	Zea	mays subsp. mays	PI	607522	71541	NA	NA	NA	NA	NA	NA	Developed from AS-A  a population derived from 13 Corn Belt lines (A90  A498  A508  A509  A513  CMD5  MS1334  ND203  W33  W59M  W65  W79A  W103).	Breeder's line	USDA	NA	NA	NA
RIMMA0338	Zea	mays subsp. mays	PI	607593	45249	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0339	Zea	mays subsp. mays	PI	607599	45278	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0340	Zea	mays subsp. mays	PI	607602	45290	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0341	Zea	mays subsp. mays	PI	608465	117164	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0342	Zea	mays subsp. mays	PI	608502	117202	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0343	Zea	mays subsp. mays	PI	608519	117219	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0344	Zea	mays subsp. mays	PI	608539	119295	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0345	Zea	mays subsp. mays	PI	608599	26688	United States	Colorado	39.9611	-108.286	1524	Purdy Mesa (summit) on Kannah Creek  Mesa County. Farm.	Original source of variety was Bloody Butcher.	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0346	Zea	mays subsp. mays	PI	608618	26799	United States	Colorado	39.3667	-103	1433	8 miles northeast of Flagler  Kit Carson County.	Original source of variety was Minnesota 13.  27 years of culture on the Brandenburg farm with good isolation.	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0347	Zea	mays subsp. mays	PI	608619	26809	United States	Colorado	39.1667	-108.8	1372	5 miles west of Fruita  Mesa County.	Original source of variety was Minnesota 13.  3 years of culture on the Serve farm.  Fair isolation since Serve tried to maintain separation  but he also raised the variety Cedaredge Special.	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0348	Zea	mays subsp. mays	PI	608621	26821	United States	Colorado	40.7	-102.633	1219	6 miles north of Haxtun  Phillips County.	Variety originated from a mixture of Minnesota 13 (for earliness) and Reids Yellow Dent (for kernel depth).  37 years of culture on the Meakins farm.  Good isolation since Meakins stopped growing it when hybrids came along.	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0349	Zea	mays subsp. mays	PI	608643	26936	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0350	Zea	mays subsp. mays	PI	608646	29392	United States	Colorado	40.1139	-102.49	NA	Eckley  Yuma County.	Variety originated from Minnesota 13.	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0351	Zea	mays subsp. mays	PI	608652	127906	United States	Colorado	39.0639	-108.55	NA	Western Slope near Grand Junction  Mesa County.	Original source of variety was Golden Glow.	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0352	Zea	mays subsp. mays	PI	608764	3216	NA	NA	NA	NA	NA	NA	B55 is a selection from the single cross Oh45 x W92 tested as (Oh45 x W92)-1-1-2.	Breeder's line	USDA	NA	NA	NA
RIMMA0353	Zea	mays subsp. mays	PI	608765	82038	NA	NA	NA	NA	NA	NA	B77 is a selection from Pioneer Two-Ear Composite (PHPRC)  tested as BS11(FR)CO-Q51-3-2-1-2-1.	Breeder's line	USDA	NA	NA	NA
RIMMA0354	Zea	mays subsp. mays	PI	608766	82039	NA	NA	NA	NA	NA	NA	B79 is a selection from Iowa Two Ear Synthetic No. 1 (GP-12  PI 550446) tested as BS10(FR)CO-Q98-10-1-4-1.	Breeder's line	USDA	NA	NA	NA
RIMMA0355	Zea	mays subsp. mays	PI	608767	82045	NA	NA	NA	NA	NA	NA	B84 is a selection from Iowa BSSS(HT)C7 [renamed BS13(S2)C0] that was tested as BS13(S2)CO-45-6-2-1-1.	Breeder's line	USDA	NA	NA	NA
RIMMA0356	Zea	mays subsp. mays	PI	608774	82037	NA	NA	NA	NA	NA	NA	B75 is a selection from Iowa Corn Borer Synthetic No. 3 [BSCB3 (PI 550450)].	Breeder's line	USDA	NA	NA	NA
RIMMA0357	Zea	mays subsp. mays	PI	608777	82040	NA	NA	NA	NA	NA	NA	B85 was developed from BSCB6(S)C3-77.	Breeder's line	USDA	NA	NA	NA
RIMMA0358	Zea	mays subsp. mays	PI	648423	729918	NA	NA	NA	NA	NA	NA	Maize lines elevated in methionine were generated by crossing inbred lines A632  B73 and Mo17 to a high-methionine donor parent  BSSS53.  A632  B73 and Mo17  yellow endosperm corn-belt dent lines  were the recurrent parents in the backcross scheme.  The converted A632  B73 and Mo17 lines (3-5 backcrosses) have 11%  22% and 50% elevated methionine levels  respectively.  BSSS53 is a random line isolate from the Iowa Stiff Stalk Synthetic population.	Breeder's line	USDA	NA	NA	NA
RIMMA0359	Zea	mays subsp. mays	PI	648430	729925	NA	NA	NA	NA	NA	NA	Maize lines elevated in methionine were generated by crossing inbred lines A632  B73 and Mo17 to a high-methionine donor parent  BSSS53.  A632  B73 and Mo17  yellow endosperm corn-belt dent lines  were the recurrent parents in the backcross scheme.  The converted A632  B73 and Mo17 lines (3-5 backcrosses) have 11%  22% and 50% elevated methionine levels  respectively.  BSSS53 is a random line isolate from the Iowa Stiff Stalk Synthetic population.	Breeder's line	USDA	NA	Mo17	NA
RIMMA0360	Zea	mays subsp. mays	NA	NA	NA	Mexico	Chihuahua	26.2465	106.915	NA	Nabogame	NA	Traditional cultivar/landrace	Lubinsky	NA	Collected: 10/22/08 Individuals: A-M (13) Notes: bag M contains three cobs	NA
RIMMA0361	Zea	mays subsp. mays	NA	NA	NA	Mexico	Michoacan	20.1176	101.93	NA	Penjamillo	NA	Traditional cultivar/landrace	Lubinsky	NA	Collected: 10/22/08 Individuals: A-J (10) Notes: 	NA
RIMMA0362	Zea	mays subsp. mays	NA	NA	NA	Mexico	Michoacan	19.4184	101.642	NA	Santa Clara	NA	Traditional cultivar/landrace	Lubinsky	NA	Collected: 10/30/08 Individuals: A-I (9) Notes: Bag I contains three hybrid cobs	NA
RIMMA0363	Zea	mays subsp. mays	NA	NA	NA	Mexico	Michoacan	19.6789	100.64	NA	El Porvenir	NA	Traditional cultivar/landrace	Lubinsky	NA	Collected: 11/19/08 Individuals: A-J (10) Notes: 	NA
RIMMA0364	Zea	mays subsp. mays	NA	NA	NA	Mexico	Mexico	19.139	98.7733	NA	Amecameca	NA	Traditional cultivar/landrace	Lubinsky	NA	Collected: 11/13/08 Individuals: A-J (10) Notes: 	NA
RIMMA0365	Zea	mays subsp. mays	NA	NA	NA	Mexico	Mexico	19.2351	98.8368	NA	Tlapala	NA	Traditional cultivar/landrace	Lubinsky	NA	Collected: 11/14/08 Individuals: A-I (9) Notes: 	NA
RIMMA0366	Zea	mays subsp. mays	NA	NA	NA	Mexico	Mexico	19.3764	99.6303	NA	Jicaltepec	NA	Traditional cultivar/landrace	Lubinsky	NA	Collected: 11/1/08 Individuals: A-K (11) Notes: 	NA
RIMMA0367	Zea	mays subsp. mays	NA	NA	NA	Mexico	Mexico	19.2244	98.8427	NA	Cocotilan	NA	Traditional cultivar/landrace	Lubinsky	NA	Collected: 11/14/08 Individuals: A-H (8) Notes: 	NA
RIMMA0368	Zea	mays subsp. mays	NA	NA	NA	Mexico	Michoacan	19.4181	101.613	NA	Opopeo	NA	Traditional cultivar/landrace	Lubinsky	NA	Collected: 10/30/08 Individuals: A-I (9) Notes: 	NA
RIMMA0369	Zea	mays subsp. mays	NA	NA	NA	Mexico	Morelos	18.9719	99.0551	NA	Amatlan, Morelos	NA	Traditional cultivar/landrace	Lubinsky	NA	Collected: 11/1/08 Individuals: A-G (7) Notes: 	NA
RIMMA0370	Zea	mays subsp. mays	NA	NA	NA	Mexico	Michoacan	20.1076	101.49	NA	Puruandiro(Victor)	NA	Traditional cultivar/landrace	Lubinsky	NA	Collected: 10/29/08 Individuals: A-J (10) Notes: 	NA
RIMMA0371	Zea	mays subsp. mays	NA	NA	NA	Mexico	Michoacan	20.1683	102.373	NA	Ixtlan	NA	Traditional cultivar/landrace	Lubinsky	NA	Collected: 10/28/08 Individuals: A-J (10) Notes: 	NA
RIMMA0372	Zea	mays subsp. mays	NA	NA	NA	Mexico	Puebla	19.0886	98.4935	NA	San Pedro	NA	Traditional cultivar/landrace	Lubinsky	NA	Collected: 11/12/08 Individuals: A-G (7) Notes: 	NA
RIMMA0373	Zea	mays subsp. mays	NA	NA	NA	Mexico	Mexico	19.1197	99.5896	NA	Tenango del Aire	NA	Traditional cultivar/landrace	Lubinsky	NA	Collected: 10/31/08 Individuals: A-H (8) Notes: 	NA
RIMMA0374	Zea	mays subsp. mays	NA	NA	NA	Mexico	Distrito Federal	19.2861	99.0827	NA	Xochimilco	NA	Traditional cultivar/landrace	Lubinsky	NA	Collected: 11/4/08 Individuals: A-J (10) Notes: 	NA
RIMMA0375	Zea	mays subsp. mays	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	McMullen	NA	B73 x Mo17 F1	NA
RIMMA0378	Zea	mays subsp. mays	NSL	65871	112440	NA	NA	NA	NA	NA	NA	Iodent	Breeder's line	USDA	NA	NA	NA
RIMMA0379	Zea	mays subsp. mays	NSL	283507	210687	Cuba	NA	NA	NA	NA	NA	NA	Unknown	USDA	NA	NA	NA
RIMMA0381	Zea	mays subsp. mays	PI	213799	175992	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0382	Zea	mays subsp. mays	PI	217410	177460	United States	Arizona	NA	NA	NA	Obtained from the Papago indians in the desert south of Tucson  Arizona.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0383	Zea	mays subsp. mays	PI	218140	177807	United States	New Mexico	NA	NA	2073	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0384	Zea	mays subsp. mays	PI	218142	177809	United States	New Mexico	NA	NA	2134	Penasco  New Mexico from Tom Martinez.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0385	Zea	mays subsp. mays	PI	218152	177819	United States	New Mexico	NA	NA	2134	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0386	Zea	mays subsp. mays	PI	218163	177830	United States	Arizona	NA	NA	1615	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0387	Zea	mays subsp. mays	PI	218173	177840	United States	New Mexico	NA	NA	1829	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0388	Zea	mays subsp. mays	PI	443820	338756	Colombia	Antioquia	NA	NA	1500	Antioquia State	NA	Traditional cultivar/landrace	USDA	NA	>50 seeds left	NA
RIMMA0389	Zea	mays subsp. mays	PI	444005	338941	Colombia	Atlantico	NA	NA	7	Atlantico State	NA	Traditional cultivar/landrace	USDA	NA	>50 seeds left	NA
RIMMA0390	Zea	mays subsp. mays	PI	444254	339190	Colombia	Caldas	NA	NA	1500	Caldas State	NA	Traditional cultivar/landrace	USDA	NA	>100 seeds left	NA
RIMMA0391	Zea	mays subsp. mays	PI	444296	339232	Colombia	Caqueta	NA	NA	700	Caqueta State	NA	Traditional cultivar/landrace	USDA	NA	>50 seeds left	NA
RIMMA0392	Zea	mays subsp. mays	PI	444309	339245	Colombia	Caqueta	NA	NA	500	Caqueta State	NA	Traditional cultivar/landrace	USDA	NA	<50 seeds left	NA
RIMMA0393	Zea	mays subsp. mays	PI	444473	339409	Colombia	Cordoba	NA	NA	100	Cordoba State	NA	Traditional cultivar/landrace	USDA	NA	>100 seeds left	NA
RIMMA0394	Zea	mays subsp. mays	PI	444621	339557	Colombia	Cundinamarca	NA	NA	1000	Cundinamarca State	NA	Traditional cultivar/landrace	USDA	NA	>50 seeds left	NA
RIMMA0395	Zea	mays subsp. mays	PI	444731	339667	Colombia	Choco	NA	NA	30	Choco State	NA	Traditional cultivar/landrace	USDA	NA	seed sent to double haploid facility in Ames, Iowa for highland/lowland\ >50 seeds left	NA
RIMMA0396	Zea	mays subsp. mays	PI	444834	339770	Colombia	Huila	NA	NA	1100	Huila State	NA	Other	USDA	NA	>50 seeds left	NA
RIMMA0397	Zea	mays subsp. mays	PI	444897	339833	Colombia	Magdalena	NA	NA	50	Magdalena State	NA	Traditional cultivar/landrace	USDA	NA	>50 seeds left	NA
RIMMA0398	Zea	mays subsp. mays	PI	444923	339859	Colombia	Magdalena	NA	NA	27	Magdalena State	NA	Traditional cultivar/landrace	USDA	NA	>50 seeds left	NA
RIMMA0399	Zea	mays subsp. mays	PI	444954	339890	Colombia	Magdalena	NA	NA	250	Magdalena State	NA	Traditional cultivar/landrace	USDA	NA	seed sent to double haploid facility in Ames, Iowa for highland/lowland\ 	NA
RIMMA0400	Zea	mays subsp. mays	NSL	22629	88093	NA	NA	NA	NA	NA	NA	[(Oh07 x 38-11) Oh07]	Breeder's line	USDA	NA	NA	NA
RIMMA0401	Zea	mays subsp. mays	NSL	22633	88097	NA	NA	NA	NA	NA	NA	NA	Breeder's line	USDA	NA	NA	NA
RIMMA0402	Zea	mays subsp. mays	NSL	30904	101133	NA	NA	NA	NA	NA	NA	NA	Breeder's line	USDA	NA	NA	NA
RIMMA0403	Zea	mays subsp. mays	PI	445163	340099	Colombia	Narino	NA	NA	1900	Narino State	NA	Traditional cultivar/landrace	USDA	NA	>50 seeds left	NA
RIMMA0404	Zea	mays subsp. mays	PI	445322	340258	Colombia	Norte de Santander	NA	NA	500	Santander N. State	NA	Traditional cultivar/landrace	USDA	NA	12	NA
RIMMA0405	Zea	mays subsp. mays	PI	445355	340291	Colombia	Norte de Santander	NA	NA	1100	Santander N. State	NA	Traditional cultivar/landrace	USDA	NA	>100 seeds left	NA
RIMMA0406	Zea	mays subsp. mays	PI	445514	340450	Colombia	Tolima	NA	NA	450	Tolima State	NA	Traditional cultivar/landrace	USDA	NA	<50 seeds left	NA
RIMMA0407	Zea	mays subsp. mays	PI	445528	340464	Colombia	Tolima	NA	NA	450	Tolima State	NA	Traditional cultivar/landrace	USDA	NA	<50 seeds left	NA
RIMMA0408	Zea	mays subsp. mays	PI	478967	373903	Mexico	Chiapas	NA	NA	NA	Chiapas	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0409	Zea	mays subsp. mays	PI	478968	373904	Mexico	Chiapas	NA	NA	NA	Chiapas	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0410	Zea	mays subsp. mays	PI	478970	373906	Mexico	Chiapas	NA	NA	NA	Chiapas	NA	Traditional cultivar/landrace	USDA	NA	>50 seeds left	NA
RIMMA0411	Zea	mays subsp. mays	PI	479044	373980	Mexico	Nayarit	NA	NA	NA	Nayarit	NA	Other	USDA	NA	NA	NA
RIMMA0412	Zea	mays subsp. mays	PI	484406	379342	Mexico	Chihuahua	NA	NA	NA	Chihuahua	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0413	Zea	mays subsp. mays	PI	484413	379349	Mexico	Chihuahua	NA	NA	NA	Chihuahua	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0414	Zea	mays subsp. mays	PI	484421	379357	Mexico	Chihuahua	NA	NA	NA	Chihuahua	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0415	Zea	mays subsp. mays	PI	213733	175927	United States	Arizona	NA	NA	NA	Hotevilla village. Hopi Tribe  Arizona.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0416	Zea	mays subsp. mays	PI	484428	379364	Mexico	Chihuahua	NA	NA	NA	Chihuahua	NA	Other	USDA	NA	>50 seeds left	NA
RIMMA0417	Zea	mays subsp. mays	PI	484431	379367	Mexico	Chihuahua	NA	NA	NA	Chihuahua	NA	Traditional cultivar/landrace	USDA	NA	>50 seeds left	NA
RIMMA0418	Zea	mays subsp. mays	PI	484476	379412	Mexico	Chihuahua	NA	NA	NA	Chihuahua	NA	Traditional cultivar/landrace	USDA	NA	>50 seeds left	NA
RIMMA0419	Zea	mays subsp. mays	PI	484482	379418	Mexico	Chihuahua	NA	NA	NA	Chihuahua	NA	Other	USDA	NA	NA	NA
RIMMA0420	Zea	mays subsp. mays	PI	484506	379442	Mexico	Chihuahua	NA	NA	NA	Chihuahua	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0421	Zea	mays subsp. mays	PI	484595	379531	Mexico	Puebla	NA	NA	NA	Puebla	NA	Traditional cultivar/landrace	USDA	NA	>50 seeds left	NA
RIMMA0422	Zea	mays subsp. mays	PI	485071	380007	Mexico	Puebla	NA	NA	NA	Puebla	NA	Traditional cultivar/landrace	USDA	NA	>50 seeds left	NA
RIMMA0423	Zea	mays subsp. mays	PI	485116	380052	Mexico	Chihuahua	NA	NA	NA	Chihuahua	NA	Other	USDA	NA	>50 seeds left	NA
RIMMA0424	Zea	mays subsp. mays	PI	485120	380056	Mexico	Chihuahua	NA	NA	NA	Chihuahua	NA	Traditional cultivar/landrace	USDA	NA	>50 seeds left	NA
RIMMA0425	Zea	mays subsp. mays	PI	485128	380064	Mexico	Chihuahua	NA	NA	NA	Chihuahua	NA	Traditional cultivar/landrace	USDA	NA	>50 seeds left	NA
RIMMA0426	Zea	mays subsp. mays	PI	485151	380087	Peru	Ancash	NA	NA	NA	Ancash	NA	Other	USDA	NA	>50 seeds left	NA
RIMMA0427	Zea	mays subsp. mays	PI	485320	380256	Peru	Lambayeque	NA	NA	NA	Lambayeque	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0428	Zea	mays subsp. mays	PI	485354	380290	Peru	Huanuco	NA	NA	NA	Huanuco	NA	Other	USDA	NA	>50 seeds left	NA
RIMMA0429	Zea	mays subsp. mays	PI	485358	380294	Peru	La Libertad	NA	NA	NA	Libertad	NA	Other	USDA	NA	NA	NA
RIMMA0430	Zea	mays subsp. mays	PI	485362	380298	Peru	Ancash	NA	NA	NA	Ancash	NA	Other	USDA	NA	>50 seeds left	NA
RIMMA0431	Zea	mays subsp. mays	PI	485363	380299	Peru	Huanuco	NA	NA	NA	Huanuco	NA	Other	USDA	NA	>50 seeds left	NA
RIMMA0432	Zea	mays subsp. mays	PI	489126	384062	Mexico	Puebla	NA	NA	NA	Puebla	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0433	Zea	mays subsp. mays	PI	490825	385761	Guatemala	Chiquimula	14.7833	-89.55	457	Santa Elena. Farmer's field.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0434	Zea	mays subsp. mays	PI	490921	385857	Mexico	Nayarit	NA	NA	NA	Jalisco	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0435	Zea	mays subsp. mays	PI	490973	385909	Mexico	Sonora	NA	NA	NA	Sonora	NA	Other	USDA	NA	NA	NA
RIMMA0436	Zea	mays subsp. mays	PI	514723	409659	Peru	Amazonas	NA	NA	NA	NA	NA	Other	USDA	NA	<50 seeds left\ 	NA
RIMMA0437	Zea	mays subsp. mays	PI	514752	409688	Peru	Ancash	NA	NA	NA	NA	NA	Other	USDA	NA	<50 seeds left	NA
RIMMA0438	Zea	mays subsp. mays	PI	514809	409745	Peru	Ancash	NA	NA	NA	NA	NA	Other	USDA	NA	seed sent to double haploid facility in Ames, Iowa for highland/lowland\ >50 seeds left	NA
RIMMA0439	Zea	mays subsp. mays	PI	514969	409905	Peru	La Libertad	NA	NA	NA	NA	NA	Other	USDA	NA	>50 seeds left	NA
RIMMA0440	Zea	mays subsp. mays	PI	515053	409989	Peru	Loreto	-5.9	-76.0833	150	Yurimaguas  Amazonas  Loreto.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
